PRODUCT,QUANTITY,COST PRICE,SELLING PRICE,TOTAL COST PRICE,TOTAL SELLING PRICE,PROFIT
 Air cream,4,7,10,28,40,12
 coconut oil,2,15,21,30,42,12
 lemon paa Ss,3,4,5,12,15,3
 light up,3,28,35,84,105,21
 Skin light Cocoa butter Ls,0,8,18,0,0,0
 stay powder,2,7,10,14,20,6
24 hours spray,0,0,20,0,0,0
717 relaxer Ls,1,18,25,18,25,7
717 Relaxer Ss,0,0,7,0,0,0
Abana,8,8.7,12,69.6,96,26.4
Abana lotion ,3,15.95,20,47.85,60,12.15
ABC Relaxer Ls,2,18,30,36,60,24
ABC Relaxer Ms,2,6.54,15,13.08,30,16.92
ABC RELAXER SS,7,7.5,10,52.5,70,17.5
Acne clear,8,12,15,96,120,24
acqualiss ,0,3.9,8,0,0,0
Active men cream,6,6,10,36,60,24
Active men lotion,4,9.5,14,38,56,18
Active woman  lotion,2,10,15,20,30,10
Active woman cream,1,3.2,10,3.2,10,6.8
Afro star,15,9.6,13,144,195,51
After bath powder ls,3,5.5,10,16.5,30,13.5
After bath powder ms,0,5.9,8,0,0,0
Ahofie  xls,2,23.5,30,47,60,13
Ahofie ss,0,10,13,0,0,0
air baby,3,6,10,18,30,12
Air pro,0,5,8,0,0,0
Aisha,8,2,4,16,32,16
Alata soap,8,10,20,80,160,80
Aloe paa Ls,3,17.35,20,52.05,60,7.95
Aloe paa Ms,6,10.65,14,63.9,84,20.1
Aloe paa Ss,0,0,7,0,0,0
Alvin dor spray,3,29,40,87,120,33
Amazone spray ,2,14.4,20,28.8,40,11.2
Apple hair cream,5,7.5,10,37.5,50,12.5
Arouna oil,4,4,10,16,40,24
Aura,4,8,12,32,48,16
Avovita cream ls,5,18,25,90,125,35
Avovita cream ms,3,11.5,15,34.5,45,10.5
Avovita crm ss,1,5.96,8,5.96,8,2.04
Avovita lotion ls,18,16.5,25,297,450,153
Avovita lotion ss,15,11.5,15,172.5,225,52.5
Azzurra ,7,39,45,273,315,42
babila spray,0,4,12,0,0,0
baby boy vas ,5,3.8,7,19,35,16
Baby oil ls,5,13.3,18,66.5,90,23.5
Baby oil ss,5,8.12,12,40.6,60,19.4
Baby powder ls,3,3,10,9,30,21
Baby powder ms,2,6.5,10,13,20,7
Balm ss,13,3.89,5,50.57,65,14.43
BB clear facial cream,3,15.16,20,45.48,60,14.52
